series_name,series_lim,series_arguments,accel_name,accel_m_value,accel_additional_args,error_description,error_data,stack_id,events,computed_n,computed_series_value,computed_partial_sum,computed_partial_sum_deviation,computed_accel_value,computed_accel_value_deviation
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",21,4.1103176233121653e-19,2.7182818284590455,4.440892098500626e-16,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",22,1.9572941063391263e-20,2.7182818284590455,4.440892098500626e-16,2.7182818284590446,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",23,8.896791392450574e-22,2.7182818284590455,4.440892098500626e-16,2.7182818284590464,1.3322676295501878e-15
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",24,3.868170170630684e-23,2.7182818284590455,4.440892098500626e-16,2.7182818284590446,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",25,1.6117375710961184e-24,2.7182818284590455,4.440892098500626e-16,2.7182818284590464,1.3322676295501878e-15
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",26,6.446950284384474e-26,2.7182818284590455,4.440892098500626e-16,2.718281828459045,0.0
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",27,2.4795962632247976e-27,2.7182818284590455,4.440892098500626e-16,2.718281828459046,8.881784197001252e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",28,9.183689863795547e-29,2.7182818284590455,4.440892098500626e-16,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",29,3.2798892370698385e-30,2.7182818284590455,4.440892098500626e-16,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",30,1.1309962886447718e-31,2.7182818284590455,4.440892098500626e-16,2.718281828459045,0.0
